0	1.05626	5326.13	1e+06
5	1.05638	5337.54	999980
10	1.05675	5370.58	999980
15	1.05734	5423.19	999992
20	1.05812	5492.93	999995
25	1.05906	5576.95	999995
30	1.06013	5672.15	999996
35	1.06129	5775.31	999997
40	1.06251	5883.41	999998
45	1.06376	5993.39	999998
50	1.06499	6102.55	999998
55	1.06619	6208.37	999998
60	1.06733	6308.65	999998
65	1.06839	6401.41	999999
70	1.06935	6485.03	999998
75	1.07018	6557.96	999998
80	1.07088	6618.95	999998
85	1.07143	6666.98	999999
90	1.07183	6701.24	999999
95	1.07206	6721.33	999998
100	1.07213	6727.64	999999
